Username,location,date,content,Rating
Vincent Loh,MY,15 hours ago,"1st time using their service & IT'S…1st time using their service & IT'S LEGIT! Do expect a delay in delivery since I believe many people actually do Order. Mine took 30ish minutes, so far so good! KUDOS!Date of experience: January 13, 2025",5
Betty T,US,4 hours agoVerified,"Amazing customer service!Amazing customer service!I had problems finding the correct information to allow the team to complete my order. No problem for IGGM!I received email with very clear instructions and my order was completed much faster then expected!!Thank you so much!!Date of experience: January 13, 2025",5
T. P.,US,3 hours agoVerified,"Prompt and Professional Not my first time purchasing from your site. Experience was easy and fast. Received my purchase promptly. I was kept updated with the stages of my order. Will definitely purchase from here again. Thank you for being a reliable source Date of experience: January 13, 2025",5
Domonique Tillman,US,2 hours agoVerified,"The agent was very helpful and quick…The agent was very helpful and quick about answering my concerns I also really enjoy this app I've never had any problems with the fulfilling my order and I've done multiple in one day always quick easy and satisfying. I've recommended this to many of my friends 😁Date of experience: January 09, 2025",5
Jada Jeffrey,US,6 hours agoVerified,"First TimeThis was my first time buying anything or using IGGM. I was referred to this by my Aunt and I can say they were absolutely fast and I got two new friends. I’m truly thankful for them because I needed more stickers.Date of experience: January 13, 2025",5
RomanR,GB,15 hours agoVerified,"THANK YOU SHAWN..👍🏽👍🏽Feedback is my experience with an agent called ( SHAWN )who helped me this evening around 10-10.30 with some problems i have with an order i placed order no IG1736719607CEE. I hope this feedback goes directly for him as I was unable to put my 5* on the live chat page, he was a GREAT help to      me. I was getting so frustrated with the whole thing, but he resolved my problem and he was soooo cheerful, polite, and courteous he made me smile it would be great if everyone was like that .....He deserves a raise a 😊....THANK YOU SHAWN. 🤗Date of experience: January 13, 2025",5
Christy,US,14 hours agoVerified,"Ease of buying sticker for monopoly go I like that it explains everything with step by step instructions. The transaction was easy and delivery was fast. Would definitely buy from this website again. Date of experience: January 12, 2025",5
Edwin Carson,US,16 hours agoVerified,"Pretty quick and fastPretty quick and fast.   I have a question about another subject maybe someone can answer: I recently wanted to buy 5000 dice on your site,, I seen you have to have facebook. Myself I don't do social media of any sorts. Why can't I buy dice? Why do I have to have facebook to buy dice?Date of experience: January 12, 2025",5
customer,CA,14 hours agoVerified,"Unbelievably fast and efficientUnbelievably fast and efficient. The prices are really good as well compared to the prices monopoly charges for dice and sticker packs. Date of experience: January 12, 2025",5
RAQUETTA GAINEY,US,16 hours agoVerified,"Always super fast… I’ve got stickers a…Always super fast… I’ve got stickers a few times and I’ve never waited more than a few minutes for the sticker to arriveDate of experience: January 12, 2025",5
Happy fellet,CA,11 hours agoVerified,"Fast and good service and sometimes…Fast and good service and sometimes they give you a bonus ! Been using these folks through diablo4 and poe2 no problems!!Date of experience: January 12, 2025",5
Alx UK,GB,4 hours ago,"Been using IGGM for more than a year…Been using IGGM for more than a year now, and they never disappointed me. Very good services and reliable.Date of experience: January 13, 2025",5
Christina Burkett,US,14 hours ago,"Quick and easy to useQuick and easy to use. Delivery of the stickers are fast and great prices,  just 1 thing wish we could get the golden stickers all the time and all available.Date of experience: January 12, 2025",5
Michael,US,12 hours agoVerified,"Getting Gold Stickers!!I have used this service before to help close albums in the past. The stickers are real. They are sent right to your game board!Thank you for the excellent response!!Date of experience: January 12, 2025",5
Lipupu,PL,8 hours agoVerified,"Cooperting since couple of years mainly…Cooperting since couple of years mainly for POE. Now for POEII. Great customer focus and service.Date of experience: January 13, 2025",5
Darell Dukes,US,2 hours agoVerified,"It was horrible I buy dice and stickers…It was horrible I buy dice and stickers very very often and usually 10 out of 10 times I get my purchase in minutes or up to a couple of hours. This purchase that I needed to be completed in order to compete for 1st place in the race game and it took them over 12 hours to complete the order. I'm really disappointed and basically my dice was bought for no reason. Date of experience: January 13, 2025",1
Black Knife,GB,4 hours agoVerified,"Bought spina for toram prompt delivery…Bought spina for toram prompt delivery and ken was good at assisting throughout the processDate of experience: January 13, 2025",5
customer,US,10 hours agoVerified,"👌🏿✌🏿🖖🏿🫶🏿What made your experience great? What is this company doing well? Remember to be honest, helpful, and constructive!Date of experience: January 12, 2025",5
Marco Alessi,IT,2 hours ago,"Lay is a good workerLay is a good worker, i take immediato Scorpion magic charm. Is a biutiful day thank youDate of experience: January 13, 2025",5
MELODY,ZA,11 hours agoVerified,"First i was very scepticFirst i was very sceptic, if i will receive the sticker. But i did receive it. Thank you. This site is trustworthy. Will definitely use it again. Date of experience: January 12, 2025",5
Teicher Webb,US,43 minutes agoVerified,"Buying stickers was Easy but buying…Buying stickers was Easy but buying dice is a Nightmare way to many steps.I just Quit cause i didn’t understand and chat was a Joke it timed me out due to inactivity as I was waiting on them to reply and help me get dice Date of experience: January 12, 2025",2
