Username,location,date,content,Rating
Manny,US,2 days agoVerified,"The sun catcher is beautifulThe sun catcher is beautifully designed. I like that I can adjust the picture to the frame before sending it foe completion of the sun catcher. The friend we gave these to are surprised and pleased by such a unique gift.Date of experience: November 29, 2024",5
Judith DePompeo,US,2 days agoVerified,"perfectMy custom garage sign was perfect! My husband loves it. I love how you can customize the phrases and personalize the auto and the name. Date of experience: November 29, 2024",5
Jamal,US,6 days ago,"Problem fixedAt first I had a bad experience with this company bcuz my purchases were not being delivered when promised but after giving an unpleasant review things started getting moved in the right way... The support team got in contact about that problem we got it fixed and finally received all the items and everything turned out great!Date of experience: January 07, 2025",5
Joshua,US,3 hours agoVerified,"OrnamentThe ornament that I ordered came out great! Although shipping took a little while, it was definitely worth the way.We have this for memories and years to come.great job!Date of experience: December 02, 2024",5
Felicia Mosley,US,5 days agoVerified,"This was my first time ordering. It took a little longer than I expected cause I got it like a week before Christmas. I think I ordered it in November.This was my first time ordering from this company. I ordered a personalized blanket. The quality was good. The photo was clear and I would recommend this company and will order again. When the person opened the gift at Christmas time, they loved it and the family as well.Date of experience: November 26, 2024",5
Jane canavan,GB,Updated 10 hours ago,"I ordered 2 for me and my sister for…I ordered 2 for me and my sister for Xmas as we just lost our mum. Ordered beginning of November received early December and they were WRONG. They put people who are still alive with Angel wings on them. The writing was wrong too as it was one Angel so should be worded “I” not “we” contacted them they apologised said would be re done as priority and would receive shipping confirmation in 3-5days. Received nothing, contacted them couple of days before Xmas and no reply until the 31st December and Told apology’s they were not done so they will now be done and again 3-5days for shipping. Still received nothing emailed again Wednesday 8th January and still had no reply it’s now 12 January I first ordered these the beginning of November! Deeply upset with what I received but even more so by the appalling aftercare and customer service Edit/ replying to the sunnyzone- I have emailed many times that’s my point, I’ve had no replies to my emails. Last emailed as well wrote above ⬆️ on the 8th January and still had no reply Date of experience: January 12, 2025",1
Barbara Mason,US,6 days agoVerified,"This was a Christmas present for my…This was a Christmas present for my mother. In 2023 my brother died of cancer. He was only 53 and the baby of the family. The sunny zone did an outstanding job and my Mother absolutely loved it. Date of experience: November 26, 2024",5
Nick Loos,US,2 days ago,"No response from companyI don't know what's going on with this company but I've ordered a blanket for my friend's mom. Literally I think the end of December and I was supposed to have it Monday and they have not sent me any email of progress. If I don't get this blanket I want my money back and they'll be getting a bad review I should have had it by nowDate of experience: January 06, 2025",3
Lesley,GB,7 days agoVerified,"It was a Christmas present It was a Christmas present for my husband as he had not long had to have his dog put to sleep, and it was a beautiful  reminder of him, my husband loved itDate of experience: November 25, 2024",5
Ryan Blackwell,GB,"Dec 31, 2024","Was annoyed how long the delivery took…Was annoyed how long the delivery took but all in all I can’t fault the blanket, what an amazing blanket we ordered could not praise it enough , well done thank you so much Date of experience: December 31, 2024",5
Ray Gomm,GB,"Jan 5, 2025Verified","Excellent afdter sales service and great productthe first product was scratched on the glass but a replacement was sent out immediately (just received 04/01/2025 )     Great service  and great product      thank you Date of experience: November 21, 2024",5
Shemeeka Osby,US,7 days ago,"I placed my order on December 19th it’s…I placed my order on December 19th it’s going on a month and I still haven’t received my purchase. I’m trying to give you the benefit of doubt but I’m seeing too many bad reviews. Please don’t tell me your a scam like the reviews I read I’m really going to be angry can you please let me know when is the eta of my purchase. I got a tracking number on the 30th but it’s still not here yet it’s been in the same place since I received the tracking number. Please get back to me as I haven’t received an reply back through email.Date of experience: January 06, 2025",2
