Username,location,date,content,Rating
DAVID BURGER,US,34 minutes ago,"Pain Upon Sitting?  Try Klaudena!The Klaudena seems to be an improvement to the type of pads that wheelchair patients can utilize.  We received our purchase very quickly to our doorstep and were pleased so far with its ease of use, and the support it provides.  It was easy to order on their website and user friendly with the shipping and payment info.  Date of experience: January 06, 2025",5
Dragan,RS,"Dec 30, 2024","I was skeptical about this product but I have to admit it helps.To be honest... I was skeptical in the beginning when I ordered, but now I have to admit it helps. I had problems due to sitting at the computer for a long time and it is the main reason why I ordered this product.Ergonomic design, quality foam and cover, modern look... and best of all, IT WORKS! Thanks, I will probably order other products as well.Happy New year, holidays and Merry Christmas! Dragan, SerbiaDate of experience: December 30, 2024",5
Cathy Zenyk,CA,"Jan 1, 2025","Update on a negative situation into a positiveSince writing about my negative experience with shipping and being charged for 3 extra cushions that I did not order I was contacted by customer care and they immediately rectified the situation by giving me a full refund without have to spend the $140 to ship back. Happy to have them correct their mistake.Date of experience: December 26, 2024",4
Andrew Corbett,US,"Updated Dec 19, 2024","Problem resolvedI ordered one seat cushion and one cover, but was billed for 4 of each. call to customer service I was given assurance that the wrong order would be cancelled and replaced by the order I wanted. this did not happen and was delivered the set of 4 cushions and covers. contact by email via PayPal was acknowledged, and customer service finally responded and was very helpful. They refunded the cost of the unwanted items. Joan was very helpful. Thanks. Date of experience: November 25, 2024",3
Neil Brecker,US,4 days ago,"Many other companies make same or similar products, buy from them, not Klaudena!What a terrible company to deal with.  Do not do business with them!  I ordered a pillow, works well, but the cover started unraveling after two days of use.  I took photos and emailed to customer support.  Resent the photos a few days later after not getting a response.  I then called customer service.  I spoke with Dana who could not find my emails.  I resent them again while she was on the phone, still not received.  I resent again using another email, still not received.  I checked, all the emails were delivered.  I finally requested another cover and suggested that I would return the damaged cover.  I was told no, their policy is that once the product is removed from the package it is my responsibility.  I then asked to speak with Dana’s supervisor.  I was put on hold then told the supervisor is busy and would call me back at a later time.  When I complained I was cut off.  I am sure I will never hear from the supervisor.  There are many companies who make the same and similar products, buy from them, not Klaudena.  Date of experience: January 09, 2025",1
Kathy Harting,US,Updated 6 days ago,"Had a negative experience with KlaudenaI've had a negative experience with Klaudena. I developed sudden back pain and googled seat cushions. Klaudena came up. They advertised a sale. I ordered 3. As soon as I ordered I realized I needed to first seek medical help and recommendations. I immediately got on the site to return my order. I filled out the form they said u need to fill out. I then followed up with a call and was informed my order was cancelled. But then, I received another email to say it had not been cancelled. I now had to wait to receive it, and then once I did, received two different sets of instructions to return it, and as another customer stated, the return address is Germany. I don't believe I should have to pay for this return. And, they've got you with this business of returning to Germany, when there is also a support address in New York. I feel duped and distrustful of this company. Date of experience: January 01, 2025",2
Vicki Barnett,US,4 days ago,"I ordered a cushion for a chair that is…I ordered a cushion for a chair that is portable to keep in my vehicle. I ordered 1 cushion. I got a text a couple of days later stating order would be shipping soon & short summary of order. I ordered 1 cushion; this text stated 4 cushions purchased. I texted back that order was incorrect that I ordered only 1 cushion. No response. I called that number, someone picked up but wouldn't talk, they hung up. I emailed company support to let them know there was an error in order & asked for correction before shipping. Return email was just a company response that they were busy & someone would contact me in 24 hours. That contact didn't happen. I emailed & called business contact number that didn't answer. I actively tried to contact daily assuming arrival was imminent. The tracking on the cushion(s) was unreliable. I couldn't tell what it was doing. Order finally arrived with 4 cushions not just 1. I continued to contact in every way I could find on website. No response, no answer. When I finally got an answer, I explained situation. They directed me to the return policy which placed all return fees on customer & the condition the order had to be in to get a refund. Terrible. I still have 3 extra cushions & they will not provide return postage. Very sketchy company since I've had to research them. I wish I never saw that cushion! Date of experience: December 04, 2024",1
jbf,CA,"Dec 4, 2024","Buyer Beware updateFurther to my earlier review where I was having no success with a return or refund, I received a call from Joan Torres, Head of Customer Care at Klaudena. She was very apologetic and offered me a full refund without having to return the 4 seat covers to Germany.It's unfortunate that it had to be raised in order for this to happen. Date of experience: December 04, 2024",4
Terry,US,5 days ago,"I ordered a seat cushion from klaudena…I ordered a seat cushion from klaudena that I am very unhappy with. It is hard as a rock and has not softened in the couple of weeks I have had it.  I went through their return process and return shipping is not covered.  And they want you to to return it to GERMANY.  It costs twice what I paid for it to ship it to Germany. Horrible company with horrible policys.  What a scam.Date of experience: January 08, 2025",1
Ann Griffiths,AU,"Aug 28, 2024","My first experience was great.2weeks…My first experience was great.2weeks ago I orderedthe support cushion from Klaudena. It has been amazing support for my spinal alignment,as I have Osteoarthritis throughout. My stiffness has improvedwhilst seated to do my hobbies. also watch my favourite tv programme. I ordered a second cushion for my Senior husband & he also has the same arthritis issues.very satisfied. We both attend Physio @ gym.Date of experience: August 06, 2024",5
Laurie Grabisch,US,Updated 5 days ago,"Terrible company with ordering and returnsI ordered one seat cushion and added on 1 back cushion. The order generated 4 back cushions. I emailed right away and was told it was already processed and couldn't be changed.The company's policy is to return to Germany which costs more than the items. After emailing many times I was told I could get 20 % back for the 3 cushions I didn't want. I called and waited on hold for 12 min. The customer care person told me the same things. I read him reports from other customers on this site who got full refunds. After holding for a few minutes he agreed to refund the 3 cushions that I don't have to send back. The next day I got an email stating that 51.21 is being refunded to me. Joan from customer service called January 7th to listen to my complaints. She apologized for the difficulty I had. Since I had already been notified of my refund, there was nothing else that she needed to do for me. Date of experience: December 30, 2024",1
Roxanne Dalton,US,"Oct 26, 2024","Better posture when sittingI received timely updates for delivery and instructions on use and care of the Klaudena. It has made sitting more comfortable and my sitting posture has improved. I find it especially helpful for driving. Date of experience: October 26, 2024",5
Anita Adshead,US,"Jun 11, 2024","Comfort in carDelivery was quick. The seat cushion is comfortable, doesn't slide in car. I have a chronic back condition which makes it uncomfortable to sit in the car and this definitely helps when driving on rough road. ie:hitting a potholes, going over speed bumps. Not sure how long it would sustain comfortability as so far only used for rides less than an hour. Looking forward to seeing how it handles on a longer road trip.Date of experience: June 08, 2024",4
Joshua Lopez,US,"Updated Jan 3, 2025","NO FREE SHIPPING OR RETURNSThey got me with the ""free shipping"" if I buy another pillow cover. So I bought an extra one and they still charged me $9 for shipping. I sent an email asking why and they said that I only get free shipping on the extra pillow case, not with the original pillow. I couldnt believe the bait and switch tactics. So we received our $58 chair pillow for my wife's back and both of the items, that they wouldn't ship for free, got shipped together. So I decided I wanted to return it, it wasn't exactly what we wanted, on top of the extra charges we just wanted to return it before the 30 day return policy. I sent 4 different emails with no response. Finally, I was able to get a hold of someone from customer service and they informed that if I opened the pillow, I couldn't return it. So they lied, took my money, and wouldn't give it back. DONT BUY FROM THEMDate of experience: December 16, 2024",1
John Morden,CA,"Apr 27, 2024","Ooooohh great comfortGreat product,just as advertised. I bought this to help with my posture and back relief after sitting for long periods of time.The only frustrating part of this transaction was opening my package and then the 24 hr. wait till the cushion returned to its original self.  They are compressed for economical shipping. Shipping cost was more than reasonable.Date of experience: April 27, 2024",5
Carol,US,"Jan 2, 2025","KLAUDENA DOES IT AGAINKLAUDENA DOES IT AGAIN. CONTINUES TO SEND UNSOLICITED EMAILS.  NOW THEY'RE STALKING.KLAUDENA IS AN AWFUL COMPANY.Date of experience: January 02, 2025",1
John K,US,"Updated Dec 26, 2024","return is a scamtried to order 1 but somehow ordered 4...called within the hour and was told to late as order already with shipping but can return the extra 3 for full credit - just pay shipping...when received the instructions to return the return address was Germany (they shipped to me from NY)...cost to return $85, refund would be $65...what a scam...gave them to Goodwill12/26/24 since posting on Trustpilot I have heard from Klaudena and the issues was resolved quickly and to my satisfactionDate of experience: December 01, 2024",1
Donna Ruth Charter,CA,"Aug 30, 2024","I'm happy that it actually helps my…I'm happy that it actually helps my lower back sitting  or standing long periods at a time.It was a great gift chose for my Family and would recommend any of your products to anyone with health issues, back,legs and neck problems. Thank youSincerely Donna CharterDate of experience: August 30, 2024",5
Ella S,US,"May 31, 2024","Amazing Seat CushionMy daughter recently had back surgery and I ordered Klaudena seat cushion.  It is amazing!  We have tried other cushions by my daughter said this cushion is so comfortable, she loves the memory form because it helps support her back.  I am sure we will order some of the other products that are offered by Klaudena.  Thank you again for this amazing product.        Date of experience: May 24, 2024",5
JJW,FR,"Jun 29, 2024","Excellent info and servicePlacing the order -easy.  Was updated on delivery date.  Delivery arrived on day specified.Early days to give an opinion on how good the seat cushion and back support are.  It certainly feels comfortable.  Date of experience: June 29, 2024",5
Betsie,US,"Jun 7, 2024","I was very impressed with your detail…I was very impressed with your detail to follow up, letting me know that you received my order, when it would arrive, etc.  Plus, showing me how to unpack it and give it a few hours to expand.   I'm really enjoying the comfort of the seat cushion and foot rest in my office. Date of experience: June 06, 2024",5
Jack,US,"Dec 17, 2024","Return policy requires reading the details We purchased four seat and back cushions. We were not able to use them, and in attempting to make the return (30 day return policy) we learned that an opened cushion cannot be returned and all others must be returned to Germany. A return to Germany from the states costs more than double the original purchase price.Date of experience: December 17, 2024",1
Tom and Deb,US,"Jun 14, 2024","The cushions are of top-notch qualityThe cushions are of top-notch quality. We are delighted with the support they give. We don't foresee a breakdown of the cushion materials. Our only 2 wishes are that they had a wider one to choose from and a carry strap. Otherwise, look no further for the high quality these offer!Date of experience: June 14, 2024",5
jeffrey nelson,US,"Jun 17, 2024","The seat cushion I ordered was…The seat cushion I ordered was absolutely perfect. I tried numerous things before this cushion and nothing seem to work. With the assumption that this wasn’t going to work either I said what the hell I’m gonna buy it and try it anyway, and it was absolutely perfect. In fact, I want to buy the one for your back next, as I think it’s going to be a perfect addition to what I just bought. Thanks again for making a quality product. I think that’s what every consumer wants is just a fair shake and that’s what I got here with your company. Thanks again. Date of experience: June 07, 2024",5
pat moderow,US,"Apr 23, 2024","concern over  cover contructionThese cushions seem to be of a good quality foam.   I am a little concerned that the material that is the cover may not last too long.   The stitching of the Zipper is very ""iffy""  I worked in the making of bags and luggage  and the stitching with the raveling type of fabric of these cushion cover is a worry fearing that it may pull apart. around the zipper.Date of experience: April 23, 2024",5
Eva Fischer,US,"Dec 18, 2024Verified","The Klaudena seat cushion is a SCAM!…If you are looking for a seat cushion that helps with back pain, don't buy from Klaudena. The cushion is nothing special, it's expensive, customer service is very poor, sub standard and if you opened the package and tried the seat cushion out, you are unable to return it all together. If you return it unopened and unused, you have to ship it to Germany, which is extremely expensive!DO NOT BUY THIS SEAT CUSHION. IT'S A SCAM!!!Date of experience: December 17, 2024",1
Cher,US,"Updated Oct 17, 2024","Customer Service is Non-Existent I ordered one cushion but was charged for and sent 4. I emailed customer service immediately after receiving automated confirmation that I needed to modify my order and my request was rejected. I sent numerous emails after receiving my order for return instructions and only received automated replies. They only give you a 30-day window for returns but apparently ignore you so you can’t ever return their product despite a money back guarantee.Someone from this company finally called me back. They refunded my payment in full and allowed me to keep the product. Nice of them but it shouldn’t have taken so long to resolve my issue.  Date of experience: August 25, 2024",3
