Username,location,date,content,Rating
Matjaz,SI,5 days ago,"XXXL happy with VidaXL.All my experiences have been good, better than the average of all the sites I buy from. Fast, dependable, they answer questions and provide sensible answers to any issues. Matjaž ŠinkovecDate of experience: December 10, 2024",5
Matic Stojkovič,SI,"Dec 18, 2024","The package took 20 in stead of 3 days.The package that was supposed to be delivered in 3 days, took longer than a packaga i ordererd from china. DO NOT TRUST THE DELIVERY TIMES.Date of experience: November 15, 2024",1
Boza,SI,"Jun 1, 2022Verified","CustomerSorry, i'm buying stuff online & i forgot details from VIDAXL but i'm satisfied with your offer & prices & service 😊 maybe i miss discounts for costumers; i probably bought 7-10 items in 3 years.. you check, you have the data.. 🤔 anyway, i'm setisfied customer, Thank you very much 🌈Date of experience: June 01, 2022",4
Tjaša Ka,SI,"Sep 5, 2023","Fast process and deliveryFast process and delivery.Date of experience: July 24, 2023",4
Dani,SI,"Oct 23, 2024","If you are selling products (in my case…If you are selling products (in my case furinture) that is obviously 2nd or 3rd class quality then you should mention that in description.Almost same quality came after 1st complaint. Then i gave up.Less and learn... So in the future i will avoid ordering from your site. Date of experience: September 12, 2024",1
MIRJAM PICMAN,SI,"Sep 10, 2024","vidaXL Vrtna lopa za orodje mocha 83x57x140 cm trdna borovinaThe producti purchased for garden (small wooden garden shed) is of so pore quality (thin as paper, wooden parts are not straight/flat so screws do not fit, doors do not remain closed despite the lach -I will never buy anything more from VIDAXL brand. It is a waste of money!Date of experience: February 07, 2024",1
Igor Jelovčan,SI,"Jun 22, 2022Verified","Water tankOrdering and sending for 5 starsProduct itself did not survive 2 weeks. One pocket for plastic stick was not welded and vidaXL Collapsible Rain Water Tank with Spigot 1000 L, fell on side and broke two sticks and tear off the cover.Date of experience: June 22, 2022",3
Žarko Nedeljković,SI,"Jul 18, 2022","vidaXlI Have some intems to return and everybody on vidaXl i Have contact with was more then heplfull to guide me thru the proces. They answer quick and do everthing to help costumer. Best experianceDate of experience: July 18, 2022",5
Marko,SI,"Nov 15, 2023","Bought two cupboardsBought two cupboards. Shipping time and costs were reasonable. Packed properly, everything was fine and the quality is okay. Good experience overall.Date of experience: October 15, 2023",5
Boris Kurent,SI,"Aug 3, 2022Verified","At VidaXL I bought excellent product at…At VidaXL I bought excellent product at more than fair price. Purchase delivered in only five days - during the weekend (to Slovenia).Warmly recommended seller!Date of experience: August 03, 2022",5
Klemen Krševan,SI,"Jul 22, 2022Verified","I recived dameged product and in the…I recived dameged product and in the begining,  i was no satisfied with your feedback. Finally I recived adequate answer an now i am satisfied about your service. Probably it was because of automatic responses from your service.Date of experience: July 22, 2022",5
Samanta,SI,"Sep 1, 2022","I can praise the quick response and…I can praise the quick response and friendliness of the employees. I am happy that I was able to return the chairs that I unfortunately ordered wrong without any problems. I will be happy to buy from you again.Date of experience: September 01, 2022",5
Katja Kerzan,SI,"Jun 13, 2024","The returning proces is to complicatedThe returning proces is to complicated. If you use Vida XL, for small articles like rugs the fee is too high. The help support is inappropriate it is hard to communicate with them because of poor language skills.Date of experience: May 01, 2024",2
Anna,SI,"Dec 14, 2023","Wardrobe Black 100 x 45.5 x 150 cm Solid Pine WoodI'm highly disappointed with the wardrobe (clothes rack) I ordered. The wooden parts are of poor quality, badly painted (unpainted areas, leaving color on clothes), some of the screw holes are in the wrong places, some wooden parts don't fit together (too big). The screws are also of poor quality (head of the screw).Date of experience: November 22, 2023",1
Lea Golob,SI,"Updated Jul 5, 2022Verified","Quality of material vas not so god like…Quality of material vas not so god like expected but vidaXL make it wright and we solve problem. Thank you vidaXL !Date of experience: May 24, 2022",5
Anonimno,SI,"Sep 20, 2022Verified","Never again.Never again.Every item I ordered is the lowest possible quality imaginable. When returning the process is confusing and they do not even read your message, just plain answer and it even says it is translated from their language, how would they even know what I wrote?Date of experience: August 24, 2022",2
rok Bregar None,US,"Jan 3, 2024","Absoultely recommendVery friendly, same day respond, issue resolved successfully without a problem. Good quality for the price.Date of experience: December 21, 2023",5
Jože lenič,SI,"Dec 31, 2022Verified","Hello!Hello!The order and delivery of the product took place without any comments. the product itself did not meet my expectations - the functionality of the product and the production are poor.GreetingsDate of experience: December 05, 2022",3
Tanika,SI,"Oct 14, 2022Verified","Good raised garden beds for the gardenHappy with these great garden beds.  They look great in the garden and I have been happy with all the salad and greens that have grown well in them.  They are fiddly to assemble with all the screws but once you do the first one, the others are quicker.  I have had colourbond raised beds before that seemed to be a bit sturdier but overall these are okay for the garden.  I would have preferred longer panels for the 2 metre plus beds as I found by assembling the smaller panels, they seemed to buckle a little in the middle.  This was only the case on the 2.5 metre plus bed.Date of experience: October 14, 2022",4
Vojteh Mocnik,SI,"Nov 23, 2022Verified","Fast deliveryFast delivery, but no tracking. All products not of good quality. Unfortunately, I had to involve some repair work.Date of experience: November 23, 2022",4
Gordana Mihelin,SI,"Aug 31, 2023","purchase evaluationWe are always very satisfied with our purchase. Fast delivery, we are informed about every step from order to delivery. Excellent!Date of experience: August 06, 2023",5
unkl vagi,SI,"Jun 4, 2024","One week back i ordered 3 rugs from…One week back i ordered 3 rugs from VidaXL, they couldnt give me exact delivery date after contacting them 3 times, the items still did come in time they stated 5-7 days.But now the shock!!The rugs were missing fibers all across the lines where they were bent into packaging, all 3 rugs. And they asked a lot of money for this rugs, but the quality is cheap Chinese fiber, no quality control, poor customer service.This is the 2nd time i order from them, the last time i didnt bother when i ordered 2 office chairs and 2 screws were missing, i took the screews from my older chairs.But this is unacceptable, i cant even use the rugs, going straight to the trash. Im waiting for a contact from them and a full refund.I would add pictures if i could, they look like they have been used for 10 years and the fabric started to fall off.Date of experience: June 04, 2024",1
Janez T.,SI,"Sep 20, 2022Verified","Returning a big package.At first I was disappointed with the inox garden doors I received. However, returning the product was very easy. Thank you.Date of experience: September 20, 2022",5
