Username,location,date,content,Rating
CONNIE DAVIS,US,An hour agoVerified,"Fast shippingAlways have exactly what I'm looking for. Fast shipping. Date of experience: December 16, 2024",5
Harold Johnson,US,"Jan 4, 2025Verified","I paid for item they took money off…I paid for item they took money off credit card. Two days later there asking questions about it after they took money off card . I told them to cancel refund … won’t do business every again with there folks Date of experience: December 07, 2024",1
Jon Yocom,US,5 days agoVerified,"There was no size chart and no mention…There was no size chart and no mention that there was not a power source, I checked the ad and did not see any of this.  Maybe you can give me proof that this was in fact in the ad. Guess I got ripped off!Date of experience: November 26, 2024",1
Chris Guest,US,"Dec 13, 2024Verified","Received item quicklyReceived item quickly. It was exactly as described and was delivered in perfect condition. Just what I needed to complete my project! Would recommend this company Date of experience: November 15, 2024",5
Michael,US,"Dec 7, 2024Verified","Improper shipment I order two pellet pro 4 inch components on Nov. 9th. To date I have received one correct part and two incorrect parts. I am still waiting on the correct piece to finish my install. The two incorrect parts I received do not come close to matching the description on the packing slip sent with them. I don't know if you have an inventory issue or a staffing issue. I would say that you probably need some quality control measures put in place to ensure proper shipment.Date of experience: November 09, 2024",1
Darrell Goss,US,2 hours agoVerified,"pipes were bent and they replaced thempipes were bent and they replaced them Date of experience: November 30, 2024",5
James Leibiger,US,"Sep 17, 2024Verified","OnlineStores: Easy to navigate-great prices-fast deliveryOnlineStores has an easy to navigate web page. I was looking for a flash collar for the flagpole I just installed. Not only did they have the correct size, there was five color choices. Most other places I looked for collars just had the standard silver. I found the bronze flash collar at the Online Store, purchased, installed and now enjoying my completed flagpole project.Date of experience: August 14, 2024",5
Annette O,US,"Sep 9, 2024Verified","Order was accurate and delivered with…Order was accurate and delivered with lightning-speed. As usual, coupon code did not work and customer service blew me off, but as I’ve said before, even without the coupon, prices are good, and delivery time is excellent. Date of experience: August 12, 2024",5
Chris St clair,US,"Oct 23, 2024","Paid $200 for shipping and have not…Paid $200 for shipping and have not received an update on where my $500 order is. The only email that has told me anything is that they are closed from the 17th to the 27th. What kind of company closes for 10 days and does nothing to update a customer on their order? Never dealing with this company or northlineexpress.com again. I’ll update this review then they actually give me any sort of information as to when I will receive my order.Date of experience: October 21, 2024",1
Willow Spring  NC Roti,US,"Sep 1, 2024Verified","What they did wellWhat they did well, was to pay strict attention to detail and that my order was handled with care. George, the customer care representative assured me ever though my order was mishandled and lost by FedEx, I was shipped a reordered and received all the items within a few days at no additional cost or hassle! Date of experience: August 03, 2024",5
GARY,US,"Mar 26, 2024Verified","Help is easy to find and there are knowledgable people waiting to help.In dealing with your company, I was really surprised with the ease it was to contact one of your representatives to fix a problem that I caused and have them get on it immediately. Other companies bury the contact ability deeply so it is hard to get to anyone, but your web site has everything in plain site as to how to contact someone for help.  AND, those people are able to help you solve your problem in a simple matter.  Great site to order from or to get help from.Date of experience: February 27, 2024",5
Keith Lisk,US,"Nov 22, 2023","6"" x 48"" DuraBlack Stainless Steel…6"" x 48"" DuraBlack Stainless Steel Single-Wall Pipe - 6DBK-48SS we have a older Ben Franklin style stove that requires a oval to connect to to stove which should be as easy as mashing the pipe to fit on stove. When we did this the opposite end the seam came apart and these pipes are not user snap together so there was no way to get it back together. If using this SYSTEM and you need to modify drill and screw seams!Date of experience: November 21, 2023",3
JERRY SANDLIN,US,"Oct 27, 2023Verified","Honest companyHonest company. I know that is usually the first thought that goes through anyone’s mind when ordering online,I know it is mine. With that said I placed my order and received my merchandise in an acceptable time frame. Merchandise was of good quality.Date of experience: September 15, 2023",5
James D'Agostino,US,"Updated Sep 6, 2023Verified","Perfect world flags…All flags were received in perfect order. Some wrapped in cellophane,  some in a rubber band.Order was accurate and timely. Material is high quality and the prices are very reasonable. It's very easy to be inaccurate when dealing with hundreds of flags.Date of experience: August 07, 2023",5
ESSEX TOWNSHIP Cemeteries,US,"Oct 1, 2023Verified","Great service.I order flags to be placed on Veteran's graves from another company, I never received them and had to do a rush order. Online stores not only rushed me the order they were about half price of the original company that I had used for years. I am so thankful!Date of experience: September 02, 2023",5
KEN WILKES,US,"Nov 17, 2023Verified","Ordering from the Online StoreOrdering from the Online Store is so simple and intuitive that it is a pleasure to purchase from them. My orders are always correct and in great condition. We have been a customer of theirs for almost 10 years and keep coming back for more.Date of experience: October 20, 2023",5
Debbie  Kirkpatrick,US,"Aug 12, 2024Verified","In stock/ great selection/ great pricesAlways have what I need in stock, great selection, great pricing.  Just wish could get it delivered quicker, cheaper.  Date of experience: June 18, 2024",5
GARY HOP,US,"Feb 4, 2024Verified","Great products, Gear Service!…We always replace Old Glory on New Years Day,This year was no exception!  Online Stores was right there like they've always been.  Great productsand excellent service!  Thank you Online Stores!Date of experience: December 24, 2023",5
John Jepsen,US,"May 15, 2024Verified","Items were easy to order in the size I…Items were easy to order in the size I needed. Items arrived altogether in a timely fashion.  Have used this site several other times with the same good results.Date of experience: April 16, 2024",5
SHARON LANGHURST,US,"Dec 26, 2023Verified","I shopped here specifically for the…I shopped here specifically for the Christmas crackers as this is the only place I found that had real ones that actually pop when opened. They are a huge hit! Plus all the candy for stuffing stockings is loved by all as well.Date of experience: November 14, 2023",5
