Username,location,date,content,Rating
Patricia Willis,US,2 days agoVerified,"Meal Variety 🤩Steaks, pork, chicken & bacon arrived packed separately and ready to freeze! Ate two wonderful pork chops last night! Delicious, tender and juicy center cut chops!! Can’t wait to pick our next meal! Excellent gift choice from my sister! Highly recommend!!Date of experience: December 17, 2024",5
Pamela Wilson,US,2 days agoVerified,"Personal Attention & Outstanding QualityPersonal attention to the orders and deliveries is outstanding. Due to the Dec wildfires in Malibu, CA a client gift was undeliverable. GR stepped right up and took the reins :) Our clients are so impressed with the outstanding quality of GR product, with continuous 5- star reviews. Thank you to all of the great ranches and staff!!Date of experience: December 11, 2024",5
Sonja,US,3 days agoVerified,"We finally tried chicken from Good…We finally tried chicken from Good Ranchers.  We were not disappointed. I’m so happy we are able to just get the white meat as the other company we were ordering from was mostly dark meat and charged a lot more to substitute it. We only got one order so far but I’m looking forward to receiving future orders. Date of experience: December 05, 2024",5
Lisa Ann Madsen,US,2 days agoVerified,"My order was incorrectMy order was incorrect, when I texted to advise of the mistake I received a prompt response and replacement order within a few days. Excellent customer service!!!It ended up being a happy mistake, I got to try a few new meat cuts and I’m happy to say everything was delicious!!!Date of experience: December 21, 2024",5
Lisa Townsend,US,2 days agoVerified,"Old School Ranching Wins!!We have been so happy with our meat purchase.  The delicious flavor reminds us of when our grandparents would raise all their meat and provide for the family.Thank you for being old school ranchers.Date of experience: December 18, 2024",5
Daniela Delaney,US,5 days agoVerified,"Alleluia this is real meatAlleluia! I found the absolutely delicious meat delivered to my doorstep. The company is professional, efficient, cost efficient and delivers top notch steaks. The bacon is the best I’ve ever had and I’ve tried heritage pork from a local farm. When I sent an e-gift to the wrong address they remedied it quickly even though it was a holiday weekend. Date of experience: December 11, 2024",5
Tommy,US,3 days agoVerified,"Everything about your meatso satisfieds have been…Everything about your meats have been wonderful!  From the chicken wings, the bacon, to the beef has been excellent!!!  The food always arrives still cold and ready to be refrigerated and eaten!  Thank you for the quality of your meat!Date of experience: December 21, 2024",5
Amanda,US,17 hours agoVerified,"Excellent quality and tastes deliciousExcellent quality and tastes delicious.  Extremely juicy meat.  Hardly any unwarranted fat...everything is trimmed well.  Flavor is scrumptious.Date of experience: December 18, 2024",5
Serene  DAmbris,US,3 days agoVerified,"Grateful!First of all I am so grateful to our farmers,The hard work and dedication  is what makes this food I have ordered twice now absolutely delicious. I can't imagine  a world without music and farmers. So easy to order and great choices. Thank you so much. You are very much appreciated and i would never ever take you for granted!  GOD BLESS YOU and AMERICA. Date of experience: December 13, 2024",5
Monika Smith,US,4 days agoVerified,"Love supporting USA small farms. High quality, good tasting meat!Meat is high quality and makes meal prep easy due to the individual bags. Packaging for shipping is fantastic - meat has always arrived frozen even if it has sat on our porch in the south all day. Customer service, whenever I have contacted they are helpful and friendly!Date of experience: December 19, 2024",5
Julie Hamblin,US,A day agoVerified,"Chicken WingsI have been very happy with Good Ranchers until my last order arrived before Christmas. I have always received chicken breasts and this time I received chicken wings. I don’t eat chicken wings. Date of experience: December 20, 2024",2
Rob Eller,US,5 days agoVerified,"So far I'm happy with the serviceSo far I'm happy with the service.  Everything came well packaged. The color coded bags are wonderful for people like me who have no organizational skills. The steak and chicken have made some great meals.  And good ranchers email notifications have let me know just when my package was going to arriveDate of experience: December 18, 2024",5
Laurin,US,5 days agoVerified,"The Best Customer ServiceThrough no fault of their own, my package was very late (it was  FedEx issue). The customer service rep replaced my box promptly and threw in an added surprise. Shipping problems do happen, but when they do, Good Ranchers takes care of their customers. I appreciate this kind of service which is rare these days!Date of experience: December 18, 2024",5
Marcie Finnigan,US,5 days agoVerified,"Going on Year Two - Amazing Cuts of Meat!Good Ranchers is great, easy to use, has a good variety. Meat is always very tasty and is nice to know we are not consuming meat with vaccines and supporting farmers at the same time.  It is a little pricey but the quality is very good and amazingly you don't need to eat as much meat when it fresh and dense, and it's not filled with water and other additives.I do wish they would add some additional items like Roast, Pork Roast, whole chicken, and tallow. Date of experience: December 18, 2024",5
Heather Zybas,US,2 days agoVerified,"BEST EVERYTHING EVER!The product is delicious. The pork is the best I have ever eaten! The pork chops make every meal top-notch. The salmon tastes like it was fresh off the boat (as a native Washingtonian, I know what that tastes like. Since I moved to New England 20 years ago, I have not had a good piece of salmon until Good Ranchers). Date of experience: December 17, 2024",5
michael,US,5 days agoVerified,"We are a poultry family and this…We are a poultry family and this chicken is beyond delicious and tender. Can’t even look at a brand store chicken breast without getting grossed out anymore.Deliveries are always on time and customer service has been excellent whenever needed. Date of experience: December 11, 2024",5
glenn fergione,US,4 days agoVerified,"It’s all about taste and good American farm raised food. I get basics from Good Ranchers monthly but what I like most(besides the taste) is the add on’s I order! I got some rid eye steaks last order and they were great! So much better than what I can buy at the local grocery store. Also I am hooked on the sausage! It’s becomes a way of trying different things and finding out what things should taste like when’s it’s natural!!Date of experience: December 19, 2024",5
Grace Bible Fellowship,US,3 days agoVerified,"We love Good RanchersWe find the meat very good, we love the steaks especially. The ground beef and chicken wings are also very good.We appreciate that it is easy to change the order date to either sooner or later than scheduled.Date of experience: December 21, 2024",5
rena halstrum,US,3 days agoVerified,"Very pleased with all the items I have…Very pleased with all the items I have received. Meat is really good. The steaks are wonderful.  Always delivered with no problem they keep you informed of delivery time and have a tracker you can use. I have not I just trust the information is correct never had a problem.Date of experience: December 20, 2024",5
