Username,location,date,content,Rating
NP,US,4 days ago,"Same as others hereSame as others here. Tried the Walmart plus and ordered groceries. They did not deliver, said they would come the next day, delayed again. I cancelled both the order and my Walmart plus. Very disappointing experience, would not recommend.Date of experience: January 09, 2025",1
Christopher Dale,PR,6 days ago,"Walmart grocery delivery is a scam. Walmart order on a Sunday. They put it off until Tuesday and guaranteed DELIVERY between 10-12.  Never arrived and after 3pm when contacted, they guaranteed a driver just left with groceries.  100% lie. Waited over 8 hours for groceries never even attempted delivery.  They play intentional games when you call in. Worst customer service I've ever experienced.  Put on hold for 15-20 minutes at a time.  THE WALMART GROCERY DELIVERY IS A COMPLETE SCAM. ZERO INTENT TO DELIVER GROCERIES AND ZERO ACCOUNTABILITY FOR DISGUSTING SERVICE FORCED ON VICTIMS/CUSTOMERS. Date of experience: January 07, 2025",1
Christine Sappington,US,2 days ago,"Customers beware Customers beware. I have been getting Walmart delivery now for about 3 years and I just found out it's not even through Walmart. It's through a third party company, so when you're ordering online and you think that these Walmart workers are coming to your home, it is not. Walmart is a third party company that Walmart has hired has no affiliation with. Who's coming out to your home. I looked up the company online.All you have to do is have a driver's license and a vehicle.They're not doing background checks or anything, and they're giving them your information.This is ridiculous.BewareThey're giving out your information to a third party company that you are not aware of when you get delivery.It is not from walmart is from a third party company.All your orders are all your information.Your home address your phone number and everything is being released to this third party company and that is exactly why so many orders are messed up, it's not even through Walmart. If you call pick up, they will tell you that it's not even through them that they don't even they can see that you made order, but it's another company that's actually coming. In the store, doing the shopping paying for it delivering it to your home. They have no control of it even. This is ridiculous.I've been shopping with them for how long they've never even told me this.I'm just now aware of it.It is ridiculous beware that they're giving your information out to a total different third party company that they have no affiliation withDate of experience: January 10, 2025",1
v Simm,US,"Jan 4, 2025","Curbside pick upCurbside pick up. Point of curbside pick up, correct me if I'm wrong, order online then drive up and have groceries loaded into your car. Wal-Mart version- Pull up and When employee walks up: Can you help me load the groceries? (Note appears in 20's)Me: There is a 35 pk of water. I have an old neck injury from an accident. I'll hurt my neck. The employee then says he'll load water and can I help. I am getting things and he is too. He puts items on top of my eggs and bread. There were employees within earshot no help. If he is not capable of loading then he should be given another position. And he had runny nose and sniffing so now I was close.Date of experience: January 03, 2025",1
Richard Larson ,US,"Jan 2, 2025","They forgot items the last two timesThey forgot items the last two times. The first was just a couple of things, but yesterday’s delivery was missing about half the order; a total of 16 items. Although not acceptable, I can understand overlooking an item, but 16?  I cannot fathom that. They are crediting our account and then we have to reorder. We’ll give them one more chance. Date of experience: December 31, 2024",1
Sheila Kirsch,US,"Dec 28, 2024","Love the delivery service just don't like the late alert that an item I really needed is unavailable!  What I like about delivery is not having to leave my house,what I don't like is getting an alert that one or more of my items weren't available and by the time they alert you it's too late to add to the order. I don't understand with their technology why they can't tell you when u select that item that it's out of stock. Noooo they let you order it,needing that item then you get a message saying it's not available. Come on Walmart you can improve this issue!! Date of experience: December 28, 2024",3
Kay Sledge,US,"Jan 4, 2025","Fifty Fifty Chance You Get Your Order Ordered my items shipped so there was a reasonable chance I would get them. Anything coming from the store always has a problem. They changed it to delivery from the store and my items were 'delayed'. I'm supposed to keep checking back for updates. I can't cancel and get a refund...which I would not see for up to 2 weeks.....until delivery. So they hold my money and my items until they decide not to and I can't do anything about it. This is just the latest issue with walmart delivery. Ordering items for a meal and having to wait to see what actually shows up; being told something is not available and going into the store only to find it fully stocked with that item; and, getting produce items that look like they were in the clearance bin, are just a few of the ongoing issues. Does walmart even care about the lousy service out of this store? Smdh!Date of experience: January 03, 2025",1
Danielle Jackson,US,"Dec 24, 2024","HorribleHorrible. Beyond horrible. Canceled my order 5 times. I have 5 different holds on my credit card. Customer service is horrible, can’t even understand what they are saying. Been waiting for my order and the rep stated to me that she didn’t know the Walmart telephone number to check. They constantly hang up in my face. Not one time have they tried to fix the issue or anything. Would not recommend my enemy to purchase anything delivery through this trash company. Stop using AI and actually do your job.Date of experience: December 23, 2024",1
J Jensen,US,"Dec 27, 2024","Walmart is a DISASTEROrdered Walmart grocery delivery for my son with autism, who does not drive. They are currently 3 hours late from the latest window time, when I call them they have no personal service, just a machine that says they have up to 48 hours (!!!) to deliver the order past the promised time, then I can cancel it. WHAT?? Why would I want to cancel it, my son needs food!! I want a REFUND of the Walmart+ fee! What a ripoff!!!Date of experience: December 26, 2024",1
angry customer,US,"Updated Jan 4, 2025","walmart deliveries  are a SCAM !!walmart grocery deliveries  are a SCAM !!! don't use this service you will regret it 💩Date of experience: January 02, 2025",1
Drip Tee,US,"Dec 29, 2024","Very annoying to deal with Very annoying to deal with stayed that they attempted to drop off my order but no one ever came to my home.So they took it back to the Store. This happened twice in a row Yesterday and today And don’t get me started on how your order will always have  missing items.You will never get your full order Date of experience: December 29, 2024",1
Shannon Weatherby,US,"Dec 24, 2024","Absolutely the worstAbsolutely the worst. Constantly canceling. Not receiving all my items then it takes forever to be refunded. Leave the delivery to Amazon.  I'll never use Walmart delivery again Date of experience: December 23, 2024",1
Anthony Mongell,US,"Dec 15, 2024","Actually deliver the groceries instead…Actually deliver the groceries instead of delaying then canceling all the time.  That's why I paid for a membership.  Then i have to wait 10 days to make sure that you didn't charge me. I don't think that this is even worth the subscription, probably going to cancel after this..Date of experience: December 15, 2024",1
Sharon Hanes,US,"Dec 11, 2024","We tried the free trial membershipWe tried the free trial membership, and made an order for grocery delivery. They delivered the groceries to the wrong address, dropped them off at a random door, and then couldn’t help us with the problem. That was Sunday, and we are still waiting for the money to be refunded. We received NO groceries, and our money is still tied up in the refund.  They sent us a $25 credit on our next order for $45 or more. Why would we risk that again? Beyond aggravating Date of experience: December 08, 2024",1
April,US,"Dec 15, 2024","Ordered gift items for…Ordered gift items for Christmas.Whatever unsmart driver left my gift under the mailbox to be stolen to begin with angers me but   one of them was a gift card. Somebody used it, and Walmart still made me pay for it. And then the rest of the items I have to wait for a refund. That's going to be after Christmas, which was expensive to begin with so now i'm going to have to rebuy that with bill money. They just don't have their customers back. I canceled my walmart subscription after this. Date of experience: December 15, 2024",1
