Username,location,date,content,Rating
Nancy Andersen,US,"Oct 20, 2024","This is a GREAT company!Not only are the tortillas delicious their customer service will go above and beyond for their customers. I had a small issue, not anything to do with the company or the tortillas, that was handled in such a nice and caring way. This is an example of a great company! Kudos to them!!Date of experience: October 09, 2024",5
Michael,US,"Oct 13, 2024Verified","The three chile tortillas were…The three chile tortillas were perfectly spiced and they are delicious with cheese and/or refried refried beans spread on them and  rolled into mini enchiladas Yum.Date of experience: September 24, 2024",5
Leslie,US,"Sep 13, 2024Verified","Mr. Tortilla is the best tortilla!!!Mr. Tortilla are the healthiest tortillas. They taste great. The order and delivery process are easy and fast. I have been ordering these for a few years and it’s the only tortilla I eat now. Also, great variety of flavors and sizes. Date of experience: August 25, 2024",5
Bruce Kaurene,US,"Aug 14, 2024","Excellent products and customer serviceI have been ordering from Mr. Tortilla Store for a while and I love their products.  I have been on a low carb diet for a very long time.  I especially like the chips.There customer service is excellent.  I have had a couple of problems and they are always quick to response and rectify the situation.If you are in the market for low carb foods they have a great assortment.Date of experience: August 14, 2024",5
TL,US,"Jul 7, 2024","Be advisedBe advised, these pukes are relentless, habitual spammers that will never cease. I have reported them to several agency's, and despite being LEGALLY advised to cease and desist emails to me, they not only continued, but INCREASED. They are spiteful, harassing people who get off on disrespecting customers (former) wishes. I will never again purchase there products.Date of experience: July 01, 2024",1
Ben,US,"Aug 8, 2024","SPAMMERSI have been receiving unsolicited email from this company for over a year. I have asked them repeatedly to stop sending their spam.Over seven requests, over one year and they WILL NOT STOP. Have reported them, have paid a security company to bounce their emails from the server and they STILL WILL NOT STOP. Because of this, I have no respect for this company. Because of this, I do not trust this company. Date of experience: August 07, 2024",1
Ashley M,US,"Nov 15, 2023Verified","You won't regret it!So I am always skeptical about trying low carb items because they have seemed to give off a extremely bland taste so going into trying the tortillas I was trying to keep an open mind.That being said I am sooo happy I tried these tortillas!! Full of flavor and very light. My husband even liked them (he stays away from anything remotely healthy 😂). I was surprised to see they snuck a small package of original flavor in the box which were also great.When I run out I definitely will be trying other flavors!Date of experience: November 01, 2023",5
James Rowland,US,"Nov 2, 2023Verified","Customer Service has always been on…Customer Service has always been on point and personalized when needed..I'm not very technical savvy,  and anytime I seem to get stuck, I get a message asking if I need help or a message with a link to send me where to find help.They have always went extra step to offer discounts on new products and providing what customers are looking for in low carb quality products..Fast prompt shipping is always a big factor in myself recommending a product or company and I found that I can highly recommend Mr Tortilla for there products, customer service and fast shipping.   Thank you 😊 GPA RowlandDate of experience: October 26, 2023",5
Belinda Green,GB,"Nov 6, 2023Verified","Mr. Tortilla FanI've been a Mr. Tortilla fan since you first started advertising.  It is a staple of my diet and we order and eat a LOT of them.  Shipping is always fast, prices, though a little high for tortillas, are tolerable because the product is so good and we appreciate the low carbohydrate nature.Date of experience: October 29, 2023",5
Stacie Bush,US,"Aug 17, 2024","Taco Tuesday saved Great products and great customer service. Thought my taco shells were not going to make it for Taco Tuesday! Great customer service assured me I would be stocked and ready for Tuesday! Keep up the great work!Date of experience: August 16, 2024",5
Zicri Sanchez,US,"Apr 8, 2023Verified","These tortillas are excellentThese tortillas are excellent! We have used Mr. Tortilla for over a year now. We do a low carb diet as often as we can in my house and not only are these a great alternative, we actually prefer them to regular tortillas. Our favorites are the original and spicy 3 chile flavor. They hold up incredibly in the freezer.Date of experience: March 23, 2023",5
Dr. Lauren Chavez,US,"Jan 16, 2024Verified","Best tasting (by far) low carb…Best tasting (by far) low carb tortillas! The chips, the taco shells - wow - just amazing! I never thought low carb tortillas could taste sooooo good! The packaging is impressively good - I have never had a broken shell or a bag of broken chips. KUDOS and THANK YOU for the extra effort to not just make delicious chips, but to deliver them whole!!Date of experience: December 27, 2023",5
Terese Delfino,US,"Feb 14, 2024Verified","Great meal for dieters!We are on diets, and this was a perfect meal for us. We used your tortilla shells and added chicken, tomatoes, avocado and onions, and they were absolutely delicious! Very few calories, and a great meal!Date of experience: January 25, 2024",5
Nancy Walsh,US,"Sep 13, 2024Verified","I absolutely love the chili lemon corn…I absolutely love the chili lemon corn chips.  Their spicy little punch makes a good partner to guacamole. Date of experience: August 25, 2024",5
Jason Belsky,US,"Mar 3, 2024Verified","Deeeeeelicious!My order of tortillas chips were delivered free delivery and quickly. They were packed fresh, professionally and came intact with none broken. The flavors I had ordered were delicious. Will definitely be ordering again. Date of experience: February 25, 2024",5
LC,US,"May 16, 2024","Best low carb tortillas on the market!I have tried every low carb tortilla on the market and these are by far my favorite!  They are thin, lightweight and hold all the toppings I put in without falling apart!  They have a delicious flavor and delicate texture.  We can warm them up, fry them in oil or prepare them cold and they are perfection.  We fell in love with the crunchy taco shells and unfortunately they are not available at this time!  We hope they bring them back, but until then I will crush up some of the low carb chips and put them in my soft tortillas!  Please Mr. Tortilla bring back the crunchy taco shells!  This company is very passionate about their products and definitely takes care of their customers and I definitely appreciate that!  These tortillas shells freeze very well and taste so fresh after they unthaw!  I can’t thank you enough for the fast shipping, excellent customer service and the best low carb products on the market!  You’re simply the best!  Date of experience: February 02, 2024",5
Shelley,US,"Jul 14, 2024Verified","Great tasteMy order came in timely matter-- I love the taste of the tortillas, and being low sodium is a big plus for me! When the time comes, I will be re-ordering from here. Thank you so much!Date of experience: June 24, 2024",5
Bella ,US,"Nov 8, 2023Verified","Love Mr. TortillaLove this product especially that I'm strictly watching my carbohydrates intake. Hoping to get more discounted products :) Great product! Thanks Mr. Tortilla! 👍Thank you,Bella W.Date of experience: November 06, 2023",5
gg,US,"Jan 21, 2024","""Mr. NO TORTILLA, GUARANTEED HORRIBLE CUSTOMER SERVICEYou should change the name to ""Mr. NO TORTILLA, GUARANTEED HORRIBLE CUSTOMER SERVICE""I ordered direct from your site and never received the order. I called your customer service to explain that my order had not been received only be to dismissed, as if I was lying. I requested a refund and was denied. I have diabetes and look for low carb solutions however, I received nothing but disrespect from your company. Your company is the worst.Date of experience: January 21, 2024",1
Victor Mabry,US,"Sep 1, 2023Verified","Not Again.Placed order on August 25th. It’s Sept. 1 and status says “label created-USPS waiting on package.”I had not ordered from you guys in a long time because of previous bad experiences, and here we are again. You have a good product, but it’s very expensive and non-essential. This will likely be my last order from Mr. Tortilla.Date of experience: August 25, 2023",1
Yvette,US,"Nov 4, 2023Verified","Beat tortillasThe corn tortillas have the best flavor, has different options as well . I would highly recommend these to anyone especially if your needing low carb!! This is the way to go !!Date of experience: October 28, 2023",5
Christina,US,"Apr 6, 2024","The tortillas were delivered with a lot…The tortillas were delivered with a lot of moisture in the package and smelled really bad. I filled out their contact form hoping to return them and get my money back but no one ever contacted me. I didn't feel safe eating them and I'm so glad I didn't. The moisture turned to mold and I ended up throwing them all away. Waste of time and money. I'll buy tortillas locally from now on. Date of experience: April 01, 2024",1
Jonnyjay,US,"May 9, 2023Verified","Love the foodLove the food. Was packed for delivery in a timely manner but, did not ship within 24 hours as stated in an email confirmation. However, I will be a customer for life. This is the best low carb Mexican tortillas,  chips, ect that I have ever had 😋Date of experience: April 25, 2023",4
Robert Clark,US,"Apr 6, 2023Verified","Excellent one of a kind product.Excellent product gives.the ability to enjoy a bit of flavorful crunch without breaking ketosis or consuming wheat.   Well packaged to protect against significant breakage in transit.  The spicy chili.pepper chips are absolutely amazing.Date of experience: March 23, 2023",5
Rebecca Rouillier,US,"Updated Dec 6, 2023Verified","Being the fact that this order was…In response to the response, thank you for responding. While I understand the process, and appreciate them being fresh. I have ordered on several different occasions and it has never taken this long to come in.  And thank you for speaking with shipping because it should take 8 days to come in the mail.The fact that this order was placed on November 28, 2023, it should have taken until December 3rd to ship. And it should not take until December 10th to arrive. It has been almost a week since placed this after being harassed because I left it in my shopping cart, because I was trying to decided if I wanted to biy it or not.Date of experience: November 26, 2023",3
