Username,location,date,content,Rating
MAC GILLADO,US,4 days agoVerified,"Customer care is outstanding and very…Customer care is outstanding and very responsive! They assisted me in a timely manner even during the holidays.Date of experience: December 26, 2024",5
John Lacey,US,"Dec 23, 2024Verified","I’ve purchased for years but has…I’ve purchased for years but has nothing to do with weight loss. I’m a retired widow who doesn’t cook. Knowing the healthy great tasting personal trainer food is in my freezer is a comfort when you are looking for something different and delicious Date of experience: December 09, 2024",5
kate,US,"Dec 26, 2024Verified","I never received my orderI never received my order, called them, they said they sent a refund for no reason. Placed the order again and was told it would arrive in 3 days, 3wks later, no order, nothingDate of experience: November 26, 2024",1
Yolanda Feliciano,US,"Dec 17, 2024Verified","Respectfully Assist Retired Seniors Budget PlansMy experience was excellent. Since my retirement, you have helped me carefully budget my meal plan. Due to my misunderstanding the sale offer, I could not afford the  subscription for meals. Your speedy, non stressful, professional manner in solving my dispute was absolutely noteworthy of praise. Thank you for helping a retired senior citizen.Date of experience: November 19, 2024",5
Christina Dahling,US,"Dec 30, 2024Verified","Always happy and I just started using…Always happy and I just started using the food again and it seems even BETTER than last time !!!!!Date of experience: December 02, 2024",5
Vincent M.,US,"Oct 15, 2024Verified","Great tasting, healthy food. Great service. Five Stars!When ordering, ask for Jake. He's THE best!I've been ordering from Personal Trainer Food for several years now. Sometimes I travel for business, so delivery dates fluctuate. Jake always does his best to accommodate changes.Great tasting, healthy food. Great service. Five Stars!Date of experience: September 17, 2024",5
Mark Neese,US,"Dec 9, 2024Verified","Everything is packaged and ready to…Everything is packaged and ready to heat up. This gives numerous options for us with little clean up and practically no prep time. Date of experience: November 25, 2024",5
James Higgins,US,"Jun 2, 2024","Long-term customer ripped offI'm a long standing customer.  The food is relatively good, but their business practices are terrible.  I subscribed using a 35% or 40% discount code.  When you do that all future orders are supposed to be discounted at that rate and thus the same price monthly.  But over the span of 3 months the price increased by $150/month.  This is not acceptable.  I feel violated and that this company can not be trusted.Date of experience: June 01, 2024",2
Ann M,US,"Oct 26, 2024Verified","Quality foodThe quality of food and shipping it with dry ice to make sure it stays in safe frozen temperature are what I like.  I'm able to share my food with others because they also like the taste and variety.Date of experience: October 07, 2024",5
Louise Caouette,US,"May 10, 2023Verified","Not coming back again…We did personal trainer years ago and lost a lot of weight. The food was good, the packaging held up nice and price was comparable to other meal plans. This time the food is pretty tasteless, several of the bags didn't hold up to being microwaved and it's very expensive even for subscription customers. Also, the website was difficult to maneuver.Date of experience: April 26, 2023",2
LORA VIGLIONE-BOOTHE,US,"Nov 20, 2024Verified","The food is great and very easy &…The food is great and very easy & convenient to make . The customer service was also very helpful when we had to change my subscription. Date of experience: October 21, 2024",5
Keithkay,US,"Oct 17, 2023Verified","Best KETO/Diet Food Company on the MarketThe food always arrives in great shape and on time. The packaging is superior, a very sturdy cardboard box, with inner layers of thick styrofoam and dry ice. The food is individually wrapped and portioned perfectly. The vegetables always taste garden fresh even being frozen. The entrees and breakfasts are pretty darn good also. My son a I both love their food as our multiple orders indicate. No other companies even come close to Personal Trainers convenience and quality for the price. Five stars from ordering to devouring to dropping LBs…way to go Personal Trainer Foods!!!Date of experience: September 18, 2023",5
Leslie Connelly,US,"Nov 22, 2022Verified","Tasty foodTasty food, excellent variety, fantastic customer service. You can even speak with coaches for no additional cost. Lots of support available and recipe ideas too. I appreciate the list of foods I should and should not have. I feel set up for success. I lost weight easily by just eating their food, walking everyday, and doing what they said. I highly recommend.Date of experience: October 25, 2022",5
Andrea Jones,US,"Feb 20, 2023Verified","You will lose weight no doubt if you…You will lose weight no doubt if you follow intermittent fasting and cut carbs. The food is great and a wonderful way to bring a 'quick' sack lunch to work and have a healthier option for at home meals where the rest of the family is choosing less healthy options.Date of experience: January 23, 2023",4
Lynn,US,"Jul 25, 2023Verified","Easy to make meals with great taste!The proportioned food was so easy to just heat up in the air fryer! The same ease as fast food but way better for you and leaves you feeling so good after! After eating through my personal trainer order of breakfast lunch and dinner I genuinely feel my body both getting the nutrients and energy that it needs, while also keeping my athletic body lean! Great taste, my personal favorite is the salmon and brussel sprouts!Date of experience: July 10, 2023",5
Brenda Dunn,US,"Feb 8, 2023Verified","Personal Trainer Food is greatPersonal Trainer Food is great.   The food is really delicious and I sauté the veggies with the garlic butter sauce which makes them more tasty.    Delivery is fast, packed well and still frozen when received.   The only drawback is the cost.   It’s very expensive and they don’t do promotion such as free week with purchase or 50% off…..they normally give 30% discount, then less on reorder.   But it works if followed.Date of experience: January 18, 2023",5
