Username,location,date,content,Rating
Dean,US,"Dec 14, 2024","Shipping too slowBeen a customer for about 2 years now. Shipping has definitely got worse over the last few months. It’s regularly taking 2-3 weeks from placing an order to receiving the items. Too slow. I need to reconsider all my auto ship items and buy direct from supplier instead. Please improve your shipping times, thanks.Date of experience: December 14, 2024",2
Carl Vast,US,"Aug 3, 2023","kudos for Heberth!Today (August 3, 2023)I had the pleasure of placing two orders with Heberth. One was very easy, essentially a reorder. However, the other one was complicated, involving some detective work done by Heberth. All the while he was exceedingly polite and friendly. Plus, he has calm, pleasant specking voice and doesn't talk too fast for this older gentleman (me). Heberth has my highest rating as a great professional. He represents Pure Formulas vey, very well.Date of experience: August 03, 2023",5
Linda K. Simmons,US,"Aug 8, 2023","Linda's experience.Large selection and quick checkout. I'm a firm believer in L-Methylfolate. I've been on it for about two years. I've noticed the difference. My body does not absorb B vitamins. I had a DNA test and found this out and my doctor recommended that I take it every day. She's the one who recommended your company for high quality supplements.Date of experience: August 08, 2023",5
ana De Oliveira,BR,"Apr 26, 2024","Best online store to buy supplements!!Best online store to buy supplements!!I am Pure Formulas customer for over 5 years . I trust on them  because :1) they have free shipping to Hawaii 2) the shipping is always on time 3) they have a great HUMAN customer service 4)they make any return easy 5) they offer great sale promotions 6)they carry the best high quality product’s brands 7) they have reward points on the orders For that reasons ( and probably forgetting some others reasons ), feel like they really value their client and I always recommend PF to all my friends ! Just love this Company !Date of experience: April 23, 2024",5
Nadia Erdolen,US,"Oct 9, 2024","Horrible companyHorrible company. There has been a problem every one of my last 4 orders. It either takes them 10 days to deliver when I paid for 2 day delivery or the online order does not go through although my credit card gets charged or I wait for half an hour on the phone although  the recording says “you are first in line”. Either totally incompetent or a scam company. Date of experience: October 09, 2024",1
KaFuji,US,"Jul 24, 2023","Excellent Supplement Options, Reliable, Great ValueI have been happily shopping here for years!  Your website is easy to navigate and you always have the products I need in stock  I appreciate the many shipping options you offer, which always arrive on time with my items accurate.  I also value the rewards I get back at the checkout..might not be much but every little bit helps :). It is always nice to connect with a company that you can depend on and is reliable and trustworthy.Date of experience: July 24, 2023",5
Billy Bobby,US,"May 31, 2023","I've been ordering from these fine…I've been ordering from these fine folks for some years now & never had any issues . They have many products to choose from. This better than any nutritional stores because you can shop at home. The multi-vitamin I take for men over 60 work great, I've been taking them for 5 years.Date of experience: May 31, 2023",5
Judy,US,"Updated Dec 14, 2023","Prices seem goodPrices seem good, but Chrome said your site wasn't secure and the item pictures didn't show up when I was shopping.Update:I think my browser can’t be updated, I had no issues using a newer computer. I’ve ordered twice from the company so far and am very happy with the prices, delivery time, and the products.Date of experience: September 24, 2023",5
Lee,US,"Apr 16, 2023Invited","LOVE, LOVE, LOVE PureFormulas!LOVE, LOVE, LOVE PureFormulas! It gives the best, detailed description of items, (with zooms most labels, so that I can see for myself what ingredients are in the bottle). AND I love their FAST (free) shipping out of my purchases! No other website that I've been to for these items is as efficient as PureFormulas!!Date of experience: April 16, 2023",5
Kate,US,"Apr 15, 2023","Fast shipping, everything there.Website was relatively easy to navigate, though it did keep freezing when I tried to pay and when I refreshed it, it had doubled the quantity of all my items. Got my order quickly though once it went through. Little miffed that the free sample I requested expires in less than a month though.Date of experience: April 14, 2023",5
thomasjvasil,US,"Apr 24, 2023Invited","3rd One Is The Charm        Your on line ordering system . happened…your on line ordering system happened to work correctly for me, whereas two of your competitors order processes were crap, thus costing them both a $100 sale.   ""Send in the clowns......don't bother they're here""Date of experience: April 24, 2023",4
Carol Turner,US,"Apr 8, 2023Invited","the only problem I had was in the survey, trying to figure out how to put the date in. It was european style, I think, I could have the day and month twisted, however I visisted the site on april 8very easy to navigate the website, the autoship is so handy. If I don't want to run out of something I really like I use auto ship and push it out about 5 days, that way I never have too many of any one thing, ( just in case I forget to take a supplement.Date of experience: April 08, 2023",5
John,US,"May 8, 2023","I like your wide selection of…I like your wide selection of nutrients, as well as your rewards credit, product coupons as well as your shipping policies and performance - thank you! Also, I've been a customer for quite a few years and look forward to continuing with you.Date of experience: May 08, 2023",5
Olygirl,US,"Jun 5, 2023","We Get All Our Supplements HerePure Formulas is where I get all our supplements. It's easy to order and shipping is fast. I like the promotional discounts. The product information on each item is clear to understand and ingredients are listed clearly.Date of experience: June 05, 2023",5
Suzy Mahony,US,"Apr 5, 2023Invited","I don't have oneNothing really, I just thought I should give you a rating. I'm brand new here so I can't really judge my experience. However, it appears to be a good organization with health as a priority.Date of experience: April 05, 2023",5
