Username,location,date,content,Rating
Ben Noll,GB,41 minutes ago,"Sadly failed to deliver. Sadly, after providing only one of the two retainers I have had to give up and request a charge back as customer service have ghosted me. Originally I had made the order and got the impression kit almost instantly. However after being given the go ahead to send them back. I was informed of a problem with the impressions. So I had to pay to get another kit. Slightly bothered as we threw away a ""spare"" impression which we could have used if this was raised at the time the original email was sent. Then once this had been sent back, I received only the one of the pair. The ""newest"" impression. After the previous one had been put on hold to wait. Customer service then told me I would need another impression kit and after a few attempts at giving me a code. I had a kit ordered. Since returning this impression set I have not heard from them. upon chasing it up they claim that it was sent back with the ""original"". After explaining the situation to the customer service agent I have not got a reply within 7 days. So I am writing this review and will be requesting a charge back. Date of experience: January 13, 2025",1
Odri Stain,YE,"Dec 17, 2024","Good Results!I had a fantastic experience with Retainers Direct! From the moment I reached out, the team was incredibly helpful and professional. The process of ordering my retainers was smooth and easy, with clear instructions every step of the way. My retainers fit perfectly, and the quality is top-notch. What impressed me most was the attention to detail and the fast delivery. I’ve been using them for a while now, and I couldn’t be happier with the results. Highly recommend Retainers Direct for anyone in need of reliable and high-quality dental retainers!Date of experience: December 10, 2024",5
Joe,US,"Dec 3, 2024","Retainers hurt my mouth and gumsShipping took a long time. Once the retainers arrived they actually hurt as they extended down into my gums and put pressure on them. The retainers I had from my dentist did not have this extra extension and dont hurt as much. Avoid!Date of experience: November 01, 2024",1
Lila Becker,NL,"Dec 3, 2024","The retainer did not fit my teeth wellThe retainer did not fit my teeth well. I asked for a refund under the 30 day guarantee while the website says full refund that is not true! You will be spending $20 no matter what so just go somewhere else!!! Date of experience: November 14, 2024",1
Calista Hett,US,"Nov 12, 2024","Great retainers, long wait timeThe retainers are well made and fit well, and compared to the $600 my ortho wanted it was a steal! My 4 out of 5 is due to the long wait time for them to arrive - I was told it would take about 10 days from when they received the impressions, and it ended up taking over 6 weeks. When I did check in on status they were always quick to reply with a time frame, the time frame was just wrong multiple times. So fair warning, order EARLY and you'll be just fine!Date of experience: September 30, 2024",4
Mitchell Miya,US,"Oct 7, 2024","Excellent customer serviceI ordered from retainers direct in 2022. It took two attempts to get my mold correct, but the process was fairly easy and quick. I noticed a crack in the retainer two years later, and ordered a replacement. They originally sent the replacement to an incorrect address, but after following up they sent another to me incredibly quick at no extra charge. A+ customer service and the produce has worked well for me over the last few years.Date of experience: October 07, 2024",5
Kira McNellis,US,"Oct 17, 2024","Go somewhere else! I should've looked at reviews more before purchasing from Retainers Direct. DO NOT FALL FOR THEIR SCAM! horrid experience! Didn't receive everything that was supposed to come with the retainer kit and the product was just defective in general. Date of experience: October 16, 2024",1
Terry Hoagland,US,"Jul 3, 2024","When my retainers didn't quite fit as I…When my retainers didn't quite fit as I had hoped, the company took my call, figured out a solution, which included making a revised set, and quickly turned around my new order.  My contact was very supportive and genuinely wanting to make things right.  I would give them 5 stars for their services and support afterwards.Date of experience: June 27, 2024",4
Kat J,US,"Updated Aug 27, 2024","Affordable, great quality, quick turnaround time ordered Upper & Lower Our orthodontist wanted to charge us $700 for my daughters retainers which was outrageous. We were referred by a friend who used this company and decided to give them a shot. We ordered on August 9th We received impression Kit on August 13th the instructions were clear and easy to follow. Sent pictures for approval Received a quick response, and impressions were sent back very next day. Received confirmation impressions were received on August 16th, Retainers were shipped out August 19th received August 26th so the turn around time was great roughly two weeks. They look great and fit my daughter perfectly will definitely be ordering again. & would recommend this company to more people. Very affordable and great qualityDate of experience: August 08, 2024",5
Natasha Quinn,US,"Jun 20, 2024","Retainers direct sounded too good to be…Retainers direct sounded too good to be true. It took them a very, very long time (about three-four months) for the whole process and they never even reached out about it. Every time I wanted an update I had to ask myself. When I finally did get them, the notes said that both the top and bottom retainer were “sloppy and hard to fit” when I followed their directions exactly for the molding. They did end up fitting well, but the top was very tight and incredibly difficult to get off at first. Overall, these retainers are useful and way cheaper than a standard orthodontist would charge, but the experience wasn’t the best. Date of experience: June 07, 2024",3
Gabriel Barbosa,US,"Jul 13, 2024","I wish I had more time to write this…I wish I had more time to write this review, but the bottom line is: the final product was really premium quality. It's very well made. The only reason why I don't give the 5 stars is because they ended up taking about 3 times the time frame they initially told me. But customer service was always nice, apologizing for the delay, letting me know the reasons behind it, and reassuring me that my retainers were still in the queue to production. Date of experience: March 28, 2024",4
Nate,US,"Mar 6, 2024","Super happy! I'm super happy with my upper and lower retainers. I used Smile Direct Club to align my teeth before they went bankrupt. I turned here to get retainers to keep my teeth in place. They fit amazingly—far better than even my Smile Direct retainers ever did. Their incredibly comfortable. Zero complaints. Date of experience: March 06, 2024",5
Unhappy Camper,US,"Apr 27, 2024","Very very slow process after you pay…Very very slow process after you pay for your retainers. They sent the molding kit quickly & say they have received them quickly but it takes almost two months to get them to send the retainers. They don’t give you updates unsolicited or apologize. Direct retainers just take your money & act as though you’ll just for get about the retainers until they show up months later. In the meantime your teeth are shifting. I wouldn’t recommend using them.Date of experience: March 15, 2024",1
Melissa Staie,US,"Jul 9, 2024","Product Works - Shipment SLOW!!!The process of getting the materials, doing the impressions and sending back in is quite simple and done quickly.  Where I struggled was with receiving the product.  I took a few months and the communication was not accurate.  They simply say, its coming next week and weeks would pass.  It finally got processed as an ""expedited"" order and I did finally receive them.  Date of experience: June 03, 2024",3
